,accountNumber,customerId,creditLimit,availableMoney,transactionAmount,merchantName,acqCountry,merchantCountryCode,posEntryMode,posConditionCode,merchantCategoryCode,cardCVV,enteredCVV,cardLast4Digits,transactionType,isFraud,currentBalance,cardPresent,expirationDateKeyInMatch,accountOpenDate,transactionDateTime,currentExpDate,dateOfLastAddressChange
340987,286398427,286398427,500.0,72.34,486.61,ebay.com,US,US,05,01,online_retail,367,367,2447,PURCHASE,0,427.66,False,False,2013-11-13 00:00:00,2016-02-20 21:33:45,2025-07-01 00:00:00,2013-11-13 00:00:00
262915,310508355,310508355,2500.0,342.91,45.21,AMC #74121,US,US,05,01,entertainment,560,560,7777,PURCHASE,0,2157.09,True,False,2014-10-04 00:00:00,2016-10-19 20:26:01,2018-07-01 00:00:00,2014-10-04 00:00:00
290146,966326996,966326996,1000.0,868.94,31.76,Delta Airlines,US,US,05,01,airline,342,342,6729,REVERSAL,0,131.06,False,False,2015-08-15 00:00:00,2016-06-25 10:22:18,2026-07-01 00:00:00,2015-08-15 00:00:00
98361,555620427,555620427,15000.0,1448.82,53.67,Arbys #50355,US,US,05,01,fastfood,954,954,8087,PURCHASE,0,13551.18,True,False,2011-06-05 00:00:00,2016-07-20 15:15:07,2025-11-01 00:00:00,2016-05-18 00:00:00
104867,629606479,629606479,7500.0,1455.0,209.09,Shake Shack #72209,US,US,05,01,fastfood,176,176,2251,PURCHASE,0,6045.0,True,False,2010-09-21 00:00:00,2016-04-20 16:48:41,2028-04-01 00:00:00,2016-03-14 00:00:00
407662,908136757,908136757,7500.0,6615.96,5.91,Play Store,US,US,05,01,mobileapps,358,358,4812,PURCHASE,0,884.04,False,False,2015-10-31 00:00:00,2016-11-25 04:48:27,2031-02-01 00:00:00,2015-10-31 00:00:00
241318,877017103,877017103,5000.0,451.55,365.91,apple.com,US,US,05,01,online_retail,731,731,4690,PURCHASE,0,4548.45,False,False,2014-01-31 00:00:00,2016-09-23 18:41:09,2024-06-01 00:00:00,2016-05-17 00:00:00
157954,324424797,324424797,10000.0,9196.77,150.29,McDonalds #292597,US,US,90,01,fastfood,754,754,6453,PURCHASE,0,803.23,True,False,2012-03-09 00:00:00,2016-06-13 16:43:55,2026-07-01 00:00:00,2012-03-09 00:00:00
362724,917216469,917216469,15000.0,14778.56,200.38,Powerlifting #258179,US,US,02,01,health,126,126,7872,PURCHASE,0,221.44,False,False,2014-09-18 00:00:00,2016-05-01 02:13:43,2029-09-01 00:00:00,2016-03-15 00:00:00
594882,695477682,695477682,2500.0,1177.15,28.33,Washington Post,US,US,05,01,subscriptions,824,824,4231,PURCHASE,0,1322.85,True,False,2015-12-03 00:00:00,2016-10-10 09:47:09,2024-11-01 00:00:00,2015-12-03 00:00:00
150503,112620246,112620246,15000.0,11874.7,16.75,Popeyes #308752,US,US,05,01,fastfood,734,734,6103,PURCHASE,0,3125.3,True,False,2013-12-03 00:00:00,2016-11-16 01:39:55,2031-03-01 00:00:00,2013-12-03 00:00:00
614412,296248055,296248055,7500.0,3807.73,73.37,West End Beauty #26875,US,US,05,01,personal care,420,420,5428,PURCHASE,0,3692.27,True,False,2014-05-18 00:00:00,2016-09-17 09:51:30,2030-12-01 00:00:00,2014-05-18 00:00:00
36531,798981461,798981461,5000.0,2560.05,10.76,Subway #568254,US,US,02,01,fastfood,426,426,4231,PURCHASE,0,2439.95,True,False,2011-11-23 00:00:00,2016-04-29 15:59:51,2019-02-01 00:00:00,2011-11-23 00:00:00
220233,422748173,422748173,15000.0,10827.14,5.05,Quizno's #636342,US,US,02,01,fastfood,461,461,9686,PURCHASE,0,4172.86,False,False,2012-02-14 00:00:00,2016-04-30 10:44:06,2022-08-01 00:00:00,2016-03-09 00:00:00
630664,926588727,926588727,500.0,313.78,176.64,Uber,US,US,05,01,rideshare,263,263,6684,REVERSAL,0,186.22,False,False,2015-04-27 00:00:00,2016-05-07 03:30:30,2023-03-01 00:00:00,2015-04-27 00:00:00
80857,910946533,910946533,5000.0,1358.81,39.81,Uber,US,US,05,01,rideshare,869,869,1865,PURCHASE,0,3641.19,False,False,2015-03-18 00:00:00,2016-02-27 01:10:27,2030-05-01 00:00:00,2015-03-18 00:00:00
254069,919367350,919367350,5000.0,499.66,87.89,Walgreens #149062,US,US,09,01,health,920,920,3001,PURCHASE,0,4500.34,False,False,2013-04-09 00:00:00,2016-08-06 22:52:42,2026-03-01 00:00:00,2013-04-09 00:00:00
30121,370802346,370802346,5000.0,4398.93,28.2,Subway #309527,US,US,02,01,fastfood,735,735,1284,PURCHASE,0,601.07,True,False,2013-08-19 00:00:00,2016-05-10 05:48:08,2019-09-01 00:00:00,2013-08-19 00:00:00
243131,355866858,355866858,7500.0,1430.33,56.56,Arbys #416755,US,US,05,01,fastfood,519,519,303,PURCHASE,0,6069.67,True,False,2015-11-11 00:00:00,2016-08-18 06:13:35,2021-05-01 00:00:00,2015-11-11 00:00:00
597537,662857859,662857859,5000.0,3018.19,509.95,ashleyfurniture.com,US,US,05,01,furniture,274,274,8913,PURCHASE,0,1981.81,True,False,2015-11-09 00:00:00,2016-06-14 03:15:47,2023-05-01 00:00:00,2015-11-09 00:00:00
28038,600385112,600385112,5000.0,409.46,46.56,Uber,US,US,05,01,rideshare,342,342,8582,PURCHASE,0,4590.54,False,False,2014-07-17 00:00:00,2016-05-22 20:34:41,2030-08-01 00:00:00,2014-07-17 00:00:00
113080,755428854,755428854,15000.0,15000.0,21.72,netflix.com,US,US,05,01,online_subscriptions,636,636,9852,PURCHASE,0,0.0,False,False,2015-10-15 00:00:00,2016-08-20 20:43:40,2030-11-01 00:00:00,2015-10-15 00:00:00
308790,278064853,278064853,500.0,309.39,8.74,discount.com,US,US,02,01,online_retail,676,676,7267,PURCHASE,0,190.61,False,False,2013-08-24 00:00:00,2016-04-26 17:55:11,2030-03-01 00:00:00,2016-04-11 00:00:00
473956,154139143,154139143,20000.0,19454.11,132.34,amazon.com,US,US,09,01,online_retail,960,960,8866,PURCHASE,0,545.89,False,False,2014-04-25 00:00:00,2016-06-13 20:59:04,2024-08-01 00:00:00,2014-04-25 00:00:00
142593,903360157,903360157,50000.0,27464.35,7.87,EZ Putt Putt #69446,US,US,02,01,entertainment,722,722,7104,PURCHASE,0,22535.65,True,False,2015-03-28 00:00:00,2016-10-22 09:45:50,2022-04-01 00:00:00,2016-05-22 00:00:00
595931,338550040,338550040,7500.0,2042.96,36.4,Shell Gas #988905,US,US,05,01,fuel,212,212,7363,PURCHASE,0,5457.04,True,False,2015-10-14 00:00:00,2016-11-28 14:57:24,2025-07-01 00:00:00,2015-10-14 00:00:00
53712,763201731,763201731,2500.0,1661.13,60.09,amazon.com,US,US,05,01,online_retail,348,348,4161,PURCHASE,0,838.87,False,False,2014-12-16 00:00:00,2016-10-04 03:34:42,2023-03-01 00:00:00,2016-06-14 00:00:00
226064,990764813,990764813,20000.0,13601.24,326.54,target.com,US,US,05,01,online_retail,910,910,4008,PURCHASE,0,6398.76,False,False,2015-01-10 00:00:00,2016-12-13 14:08:46,2027-01-01 00:00:00,2016-06-12 00:00:00
233385,251625315,251625315,10000.0,6014.98,54.62,Eazy Auto Body,US,US,05,01,auto,410,410,913,PURCHASE,0,3985.02,True,False,2013-05-23 00:00:00,2016-04-14 15:10:03,2027-03-01 00:00:00,2016-03-10 00:00:00
604646,875418162,875418162,10000.0,9778.14,89.56,walmart.com,US,US,05,01,online_retail,426,426,5195,PURCHASE,0,221.86,False,False,2012-10-13 00:00:00,2016-08-27 22:56:15,2027-10-01 00:00:00,2012-10-13 00:00:00
62173,577128169,577128169,5000.0,785.57,58.62,AMC #79863,US,US,05,01,entertainment,653,653,1547,PURCHASE,0,4214.43,True,False,2013-10-20 00:00:00,2016-11-27 13:55:36,2019-09-01 00:00:00,2016-10-19 00:00:00
562774,901922840,901922840,20000.0,7667.15,93.12,Blue Mountain Online Services,US,US,05,01,online_gifts,713,713,1548,PURCHASE,0,12332.85,False,False,2013-09-09 00:00:00,2016-05-09 05:46:49,2026-08-01 00:00:00,2016-03-28 00:00:00
367147,160796361,160796361,7500.0,3191.59,50.4,Burger King #440622,US,US,09,01,fastfood,585,585,8946,PURCHASE,0,4308.41,True,False,2015-04-15 00:00:00,2016-03-26 02:08:29,2031-01-01 00:00:00,2015-04-15 00:00:00
240168,877017103,877017103,5000.0,2482.16,35.2,Best Deli #100511,US,US,05,01,food,731,731,4690,PURCHASE,0,2517.84,True,False,2014-01-31 00:00:00,2016-06-22 04:49:24,2031-06-01 00:00:00,2016-05-17 00:00:00
494407,644273001,644273001,7500.0,2915.39,316.38,Dairy Queen #623068,US,US,09,01,fastfood,116,116,7598,PURCHASE,1,4584.61,True,False,2012-03-10 00:00:00,2016-02-19 10:50:02,2027-08-01 00:00:00,2012-03-10 00:00:00
223473,149326974,149326974,7500.0,3725.74,112.13,Dunkin' Donuts #609831,US,US,05,08,fastfood,727,727,8244,PURCHASE,0,3774.26,True,False,2014-05-01 00:00:00,2016-12-30 00:16:48,2025-06-01 00:00:00,2014-05-01 00:00:00
155229,445516477,445516477,10000.0,9636.32,45.81,EZ Putt Putt #69446,US,US,05,01,entertainment,329,329,1982,PURCHASE,0,363.68,True,False,2013-11-26 00:00:00,2016-01-02 18:58:38,2024-07-01 00:00:00,2013-11-26 00:00:00
575002,197905030,197905030,15000.0,11595.09,84.65,Hilton Hotels #767030,US,US,09,01,hotels,402,402,541,PURCHASE,0,3404.91,True,False,2015-12-08 00:00:00,2016-12-14 04:28:46,2019-06-01 00:00:00,2016-09-13 00:00:00
524675,351357592,351357592,2500.0,322.43,21.32,walmart.com,US,US,05,01,online_retail,964,964,5206,PURCHASE,0,2177.57,False,False,2013-12-09 00:00:00,2016-05-10 16:56:52,2031-05-01 00:00:00,2013-12-09 00:00:00
126017,173544488,173544488,7500.0,5441.59,109.7,Uber,US,US,09,01,rideshare,407,407,585,PURCHASE,0,2058.41,False,False,2014-04-12 00:00:00,2016-05-17 11:06:52,2027-04-01 00:00:00,2014-04-12 00:00:00
606872,241029136,241029136,2500.0,2204.72,70.23,Best Bistro #262998,US,US,02,01,food,253,253,3582,PURCHASE,0,295.28,True,False,2015-10-06 00:00:00,2016-03-15 20:33:05,2023-01-01 00:00:00,2016-03-05 00:00:00
560853,680093254,680093254,5000.0,857.06,50.28,Ray's Fries #892291,US,US,02,01,food,625,625,624,PURCHASE,0,4142.94,True,False,2014-01-08 00:00:00,2016-11-05 19:21:36,2020-05-01 00:00:00,2016-04-13 00:00:00
207175,262652557,262652557,5000.0,2993.94,62.13,KFC #887740,US,US,09,01,fastfood,423,423,8612,PURCHASE,0,2006.06,True,False,2012-08-02 00:00:00,2016-05-28 22:16:21,2026-02-01 00:00:00,2012-08-02 00:00:00
527988,737954820,737954820,15000.0,1922.71,19.75,AMC #128743,US,US,02,01,entertainment,564,564,6859,PURCHASE,0,13077.29,True,False,2015-08-03 00:00:00,2016-05-18 19:44:58,2031-05-01 00:00:00,2016-02-06 00:00:00
506101,537986365,537986365,10000.0,9685.08,163.63,Uber,US,US,02,01,rideshare,626,626,5914,PURCHASE,0,314.92,False,False,2014-06-23 00:00:00,2016-06-08 04:28:50,2020-05-01 00:00:00,2016-05-25 00:00:00
470464,561264594,561264594,20000.0,9531.28,21.71,AMC #128743,US,US,02,01,entertainment,489,489,7286,PURCHASE,0,10468.72,True,False,2015-02-05 00:00:00,2016-07-03 19:49:13,2018-07-01 00:00:00,2015-02-05 00:00:00
601195,700321326,700321326,2500.0,1979.57,1094.36,Uber,US,US,05,08,rideshare,187,187,4019,PURCHASE,0,520.43,False,False,2009-03-05 00:00:00,2016-10-04 07:30:10,2018-09-01 00:00:00,2016-09-01 00:00:00
462332,295580665,295580665,15000.0,12522.31,223.77,oldnavy.com,US,US,05,01,online_retail,925,925,8110,PURCHASE,0,2477.69,False,False,2013-11-07 00:00:00,2016-07-12 22:27:14,2019-09-01 00:00:00,2016-05-27 00:00:00
296318,744198814,744198814,15000.0,2745.71,144.97,discount.com,US,US,09,01,online_retail,812,812,1692,PURCHASE,0,12254.29,False,False,2015-01-21 00:00:00,2016-09-23 14:20:23,2029-11-01 00:00:00,2016-07-22 00:00:00
581036,568103434,568103434,15000.0,15000.0,8.1,KFC #04517,US,US,05,01,fastfood,193,193,5745,PURCHASE,0,0.0,True,False,2015-06-03 00:00:00,2016-09-02 09:37:41,2018-07-01 00:00:00,2015-06-03 00:00:00
303611,614629260,614629260,2500.0,1579.71,5.08,Play Store,US,US,05,01,mobileapps,423,423,4512,PURCHASE,0,920.29,False,False,2014-12-10 00:00:00,2016-11-16 08:22:55,2019-03-01 00:00:00,2014-12-10 00:00:00
482428,374110331,374110331,15000.0,13009.91,64.92,34th Pub,US,US,09,08,food,668,668,9592,PURCHASE,0,1990.09,True,False,2013-04-18 00:00:00,2016-04-30 02:46:06,2019-03-01 00:00:00,2016-02-11 00:00:00
358983,888132996,888132996,7500.0,3985.49,55.98,Fast Repair,US,US,09,01,auto,209,209,9403,PURCHASE,0,3514.51,True,False,2007-12-03 00:00:00,2016-02-13 20:24:20,2031-09-01 00:00:00,2007-12-03 00:00:00
510829,799674919,799674919,15000.0,14787.52,146.96,Subway #570678,US,US,05,01,fastfood,443,443,1636,PURCHASE,0,212.48,True,False,2013-10-03 00:00:00,2016-01-06 23:35:10,2019-07-01 00:00:00,2013-10-03 00:00:00
115619,910893563,910893563,15000.0,14776.92,99.29,Universe Massage #725790,US,US,02,01,personal care,701,701,5766,PURCHASE,0,223.08,True,False,2015-05-03 00:00:00,2016-01-04 23:16:25,2030-01-01 00:00:00,2015-05-03 00:00:00
327578,567652241,567652241,2500.0,2500.0,398.95,Lyft,US,US,05,08,rideshare,464,464,1949,PURCHASE,0,0.0,False,False,2015-05-10 00:00:00,2016-12-05 09:51:01,2025-04-01 00:00:00,2015-05-10 00:00:00
630285,771843327,771843327,5000.0,4941.15,158.77,Fresh Flowers,US,US,09,01,online_gifts,399,399,3674,PURCHASE,0,58.85,False,False,2014-07-21 00:00:00,2016-04-19 16:35:52,2018-06-01 00:00:00,2014-07-21 00:00:00
180455,341256661,341256661,250.0,50.71,237.88,Lyft,US,US,09,01,rideshare,851,851,7709,PURCHASE,0,199.29,False,False,2014-02-24 00:00:00,2016-02-23 08:19:42,2029-11-01 00:00:00,2016-01-21 00:00:00
211546,964897225,964897225,5000.0,1214.85,36.95,oldnavy.com,US,US,09,01,online_retail,109,109,7109,PURCHASE,0,3785.15,False,False,2013-09-21 00:00:00,2016-09-14 07:41:48,2026-04-01 00:00:00,2013-09-21 00:00:00
150076,357581317,357581317,5000.0,4571.37,120.44,Rodeway Inn #708973,US,US,05,08,hotels,260,260,5203,PURCHASE,0,428.63,True,False,2014-05-05 00:00:00,2016-03-10 09:05:15,2023-10-01 00:00:00,2014-05-05 00:00:00
56890,428892294,428892294,2500.0,1083.62,536.6,Blue Mountain eCards,US,US,05,01,online_gifts,654,654,4737,PURCHASE,0,1416.38,False,False,2014-05-24 00:00:00,2016-08-10 02:01:55,2030-01-01 00:00:00,2016-08-02 00:00:00
380449,637929844,637929844,7500.0,7500.0,136.35,Tim Hortons #875776,US,US,09,01,fastfood,140,140,4347,PURCHASE,0,0.0,True,False,2015-12-30 00:00:00,2016-06-03 17:14:29,2018-10-01 00:00:00,2015-12-30 00:00:00
414645,812328116,812328116,5000.0,1488.07,21.45,gap.com,US,US,05,01,online_retail,312,312,5335,PURCHASE,0,3511.93,False,False,2011-05-20 00:00:00,2016-11-23 21:46:03,2022-04-01 00:00:00,2016-07-20 00:00:00
342133,286398427,286398427,500.0,300.46,272.43,cheapfast.com,US,US,09,01,online_retail,367,367,2447,PURCHASE,1,199.54,False,False,2013-11-13 00:00:00,2016-12-25 16:48:00,2021-08-01 00:00:00,2013-11-13 00:00:00
388820,821827220,821827220,7500.0,2803.82,83.25,Subway #344185,US,US,05,01,fastfood,128,128,78,PURCHASE,0,4696.18,True,False,2012-12-23 00:00:00,2016-12-12 04:29:05,2028-05-01 00:00:00,2012-12-23 00:00:00
547054,494020599,494020599,5000.0,1768.37,259.96,Popeyes #972423,US,US,09,01,fastfood,110,110,4945,PURCHASE,0,3231.63,True,False,2015-08-10 00:00:00,2016-07-25 09:50:58,2031-05-01 00:00:00,2015-08-10 00:00:00
519259,111361550,111361550,500.0,391.41,247.42,Bobs Furniture,US,US,02,01,furniture,985,985,6327,PURCHASE,0,108.59,True,False,2014-11-28 00:00:00,2016-02-25 07:10:35,2031-01-01 00:00:00,2014-11-28 00:00:00
506450,537986365,537986365,10000.0,5855.81,4.98,Rodeway Inn #695531,US,US,09,08,hotels,511,511,2847,PURCHASE,0,4144.19,True,False,2014-06-23 00:00:00,2016-08-19 03:09:29,2021-02-01 00:00:00,2016-08-16 00:00:00
238591,877017103,877017103,5000.0,501.82,56.98,gap.com,US,US,09,01,online_retail,731,731,4690,PURCHASE,0,4498.18,False,False,2014-01-31 00:00:00,2016-02-10 00:13:32,2026-04-01 00:00:00,2016-01-27 00:00:00
508589,445328456,445328456,5000.0,1170.24,73.11,Delta Airlines,US,US,02,01,airline,503,503,1716,PURCHASE,0,3829.76,False,False,2015-04-29 00:00:00,2016-05-18 13:34:32,2029-04-01 00:00:00,2016-01-10 00:00:00
356418,843697122,843697122,10000.0,2842.81,56.29,ebay.com,US,US,05,01,online_retail,160,160,7228,PURCHASE,0,7157.19,False,False,2015-03-14 00:00:00,2016-03-07 10:12:17,2027-01-01 00:00:00,2015-03-14 00:00:00
2723,738735439,738735439,500.0,82.58,80.07,Subway #866006,US,US,02,01,fastfood,729,729,6074,PURCHASE,0,417.42,True,False,2014-02-15 00:00:00,2016-07-31 19:56:05,2022-11-01 00:00:00,2016-05-20 00:00:00
315720,447957199,447957199,5000.0,448.99,109.64,Universe Massage #524036,US,US,05,01,personal care,104,104,2100,PURCHASE,0,4551.01,True,False,2014-12-09 00:00:00,2016-11-27 14:16:26,2028-08-01 00:00:00,2016-06-14 00:00:00
328839,268698859,268698859,250.0,231.16,134.1,apple.com,US,US,05,01,online_retail,232,232,5944,REVERSAL,0,18.84,False,False,2015-10-17 00:00:00,2016-03-19 10:43:28,2024-01-01 00:00:00,2015-10-17 00:00:00
399869,856206594,856206594,50000.0,27685.14,21.69,ebay.com,US,US,09,01,online_retail,652,652,264,PURCHASE,0,22314.86,False,False,2015-05-10 00:00:00,2016-10-03 11:32:47,2029-09-01 00:00:00,2015-05-10 00:00:00
536184,318001076,318001076,50000.0,33374.19,92.76,gap.com,US,US,09,01,online_retail,633,633,1789,PURCHASE,0,16625.81,False,False,2015-12-11 00:00:00,2016-08-31 23:12:17,2021-07-01 00:00:00,2016-08-31 00:00:00
456788,786071214,786071214,7500.0,7124.95,26.13,Uber,US,US,05,01,rideshare,547,547,5455,PURCHASE,0,375.05,False,False,2011-07-01 00:00:00,2016-01-30 06:51:29,2028-12-01 00:00:00,2011-07-01 00:00:00
295933,744198814,744198814,15000.0,9796.26,423.71,alibaba.com,US,US,05,01,online_retail,812,812,1692,PURCHASE,0,5203.74,False,False,2015-01-21 00:00:00,2016-06-11 15:00:05,2024-04-01 00:00:00,2016-03-27 00:00:00
352760,686972683,686972683,250.0,250.0,14.1,AMC #128743,US,US,09,01,entertainment,899,899,4237,PURCHASE,0,0.0,True,False,2015-02-13 00:00:00,2016-09-07 03:41:12,2024-07-01 00:00:00,2015-02-13 00:00:00
341301,286398427,286398427,500.0,148.87,17.45,walmart.com,US,US,09,08,online_retail,367,367,2447,PURCHASE,0,351.13,False,False,2013-11-13 00:00:00,2016-05-18 12:39:36,2019-07-01 00:00:00,2013-11-13 00:00:00
390958,378029122,378029122,15000.0,5182.59,34.2,West End Beauty #442869,US,US,09,01,personal care,447,447,1062,PURCHASE,1,9817.41,True,False,2014-08-13 00:00:00,2016-07-09 18:33:48,2025-04-01 00:00:00,2016-05-05 00:00:00
103553,793796793,793796793,20000.0,19291.04,36.9,Sunoco Gas #425592,US,US,09,01,fuel,881,881,1527,PURCHASE,0,708.96,True,False,2012-11-30 00:00:00,2016-10-14 18:45:29,2019-05-01 00:00:00,2012-11-30 00:00:00
191245,921266829,921266829,20000.0,10562.93,0.0,alibaba.com,US,US,09,01,online_retail,923,923,8571,ADDRESS_VERIFICATION,0,9437.07,False,False,2011-02-02 00:00:00,2016-08-11 15:56:42,2021-08-01 00:00:00,2011-02-02 00:00:00
395157,431027584,431027584,5000.0,4336.9,178.92,amazon.com,US,US,09,01,online_retail,367,367,5855,PURCHASE,0,663.1,False,False,2014-05-27 00:00:00,2016-04-16 18:14:40,2021-10-01 00:00:00,2014-05-27 00:00:00
323742,459485119,459485119,10000.0,7579.31,56.99,AMC #606218,US,US,09,01,entertainment,639,639,0000,PURCHASE,0,2420.69,True,False,2013-03-15 00:00:00,2016-12-12 09:32:00,2024-08-01 00:00:00,2016-11-20 00:00:00
585162,211236618,211236618,10000.0,9849.5,32.45,Shell Gas #194308,US,US,02,08,fuel,110,110,3101,PURCHASE,0,150.5,True,False,2008-10-29 00:00:00,2016-09-02 22:09:45,2020-05-01 00:00:00,2008-10-29 00:00:00
8479,455857277,455857277,15000.0,13102.69,45.32,Best Fries,US,US,02,01,food,224,224,1764,PURCHASE,0,1897.31,True,False,2012-12-14 00:00:00,2016-05-21 06:08:08,2018-10-01 00:00:00,2012-12-14 00:00:00
180865,341256661,341256661,250.0,250.0,32.69,South Steakhouse #796913,US,US,05,01,food,851,851,7709,PURCHASE,0,0.0,True,False,2014-02-24 00:00:00,2016-12-06 20:25:49,2026-06-01 00:00:00,2016-08-12 00:00:00
108616,353215513,353215513,7500.0,587.65,195.49,AMC #724446,US,US,05,01,entertainment,986,986,2705,PURCHASE,0,6912.35,True,False,2013-07-04 00:00:00,2016-03-28 16:23:32,2020-11-01 00:00:00,2016-03-17 00:00:00
84388,456044564,456044564,10000.0,4573.07,301.22,34th BBQ #412895,US,US,05,01,food,746,746,5658,PURCHASE,0,5426.93,True,False,2012-10-05 00:00:00,2016-04-12 07:44:57,2019-02-01 00:00:00,2016-03-29 00:00:00
95223,327514434,327514434,7500.0,5906.04,124.62,1st Sandwitch Bar #119707,US,US,05,01,food,537,537,0000,REVERSAL,0,1593.96,True,False,2015-05-29 00:00:00,2016-11-21 05:19:59,2028-02-01 00:00:00,2016-08-25 00:00:00
255352,889932781,889932781,7500.0,7346.33,13.19,ebay.com,US,US,05,01,online_retail,604,604,5788,PURCHASE,0,153.67,False,False,2015-08-22 00:00:00,2016-03-04 23:17:20,2019-07-01 00:00:00,2015-08-22 00:00:00
314617,265227455,265227455,5000.0,2277.19,4.73,AMC #128743,US,US,05,01,entertainment,405,405,9898,PURCHASE,0,2722.81,True,False,2015-09-03 00:00:00,2016-07-09 19:59:05,2019-03-01 00:00:00,2016-06-19 00:00:00
81458,104679201,104679201,7500.0,608.85,95.72,staples.com,US,US,05,01,online_retail,134,134,7675,PURCHASE,0,6891.15,False,False,2013-06-30 00:00:00,2016-12-25 05:22:13,2028-11-01 00:00:00,2016-12-23 00:00:00
292222,719873381,719873381,2500.0,1564.46,350.15,McDonalds #357263,US,US,09,01,fastfood,986,986,2242,PURCHASE,0,935.54,True,False,2015-12-22 00:00:00,2016-11-01 21:12:45,2025-02-01 00:00:00,2016-07-23 00:00:00
