,accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,acqCountry,merchantCountryCode,posEntryMode,posConditionCode,merchantCategoryCode,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,isFraud,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,cardPresent,posOnPremises,recurringAuthInd,expirationDateKeyInMatch
633970,753899906,753899906,5000.0,1269.66,2016-08-26T04:35:21,173.42,cheapfast.com,US,US,02,08,online_retail,05/2026,2015-08-11,2016-04-23,720,720,2405,PURCHASE,False,,3730.34,,,,False,,,False
527553,879179769,879179769,15000.0,810.65,2016-09-01T15:02:34,0.0,discount.com,US,US,05,01,online_retail,05/2024,2013-08-18,2016-07-10,517,517,8019,ADDRESS_VERIFICATION,False,,14189.35,,,,False,,,False
515670,377838194,377838194,2500.0,1135.12,2016-02-11T07:59:57,41.07,gap.com,US,US,09,01,online_retail,05/2027,2014-04-21,2016-01-19,921,921,6310,PURCHASE,False,,1364.88,,,,False,,,False
558555,451562700,451562700,20000.0,19964.07,2016-01-13T08:33:30,0.0,AMC #606218,PR,PR,09,01,entertainment,05/2025,2013-08-15,2013-08-15,614,614,5875,ADDRESS_VERIFICATION,False,,35.93,,,,False,,,False
335075,568765450,568765450,20000.0,5960.0,2016-10-07T08:33:57,164.02,Uber,US,US,80,08,rideshare,01/2023,2015-02-20,2016-09-05,528,528,261,PURCHASE,False,,14040.0,,,,False,,,False
370412,900828152,900828152,7500.0,7171.33,2016-02-10T10:32:49,53.9,Lyft,US,US,02,01,rideshare,04/2029,2015-04-28,2015-04-28,237,237,6444,PURCHASE,False,,328.67,,,,False,,,False
167225,542293379,542293379,1000.0,275.52,2016-03-22T21:53:38,197.74,Lyft,US,US,09,01,rideshare,07/2018,2009-12-01,2016-02-20,625,625,6346,PURCHASE,False,,724.48,,,,False,,,False
527668,461911559,461911559,7500.0,6646.78,2016-02-11T00:55:27,11.01,apple.com,US,US,05,01,online_retail,03/2025,2015-06-24,2015-06-24,656,656,4779,PURCHASE,False,,853.22,,,,False,,,False
537086,318001076,318001076,50000.0,42070.14,2016-10-03T00:54:48,16.75,Domino's Pizza #107094,US,US,09,01,fastfood,12/2026,2015-12-11,2016-10-01,633,633,1789,PURCHASE,False,,7929.86,,,,True,,,False
120480,979187005,979187005,5000.0,1410.76,2016-05-15T08:27:33,228.18,Uptown Steakhouse,US,US,05,01,food,08/2025,2015-03-16,2016-01-29,741,741,2315,PURCHASE,False,,3589.24,,,,True,,,False
218632,161089322,161089322,500.0,37.07,2016-01-16T13:30:31,1.52,amazon.com,US,US,02,01,online_retail,02/2027,2014-11-02,2014-11-02,880,880,4406,PURCHASE,False,,462.93,,,,False,,,False
216271,521563166,521563166,5000.0,3811.55,2016-09-22T18:25:29,119.47,Oklahoma City Post,US,US,02,01,subscriptions,06/2018,2015-01-01,2016-05-05,310,310,4411,PURCHASE,False,,1188.45,,,,False,,,False
98776,291409415,291409415,7500.0,6976.35,2016-03-24T12:16:02,98.26,Mobile eCards,US,US,09,08,online_gifts,01/2032,2015-09-04,2015-09-04,653,653,1020,PURCHASE,False,,523.65,,,,False,,,False
62931,329329907,329329907,10000.0,9113.56,2016-05-10T16:36:54,6.22,In-N-Out #280340,US,US,05,08,fastfood,09/2018,2012-09-10,2016-02-29,609,609,414,PURCHASE,False,,886.44,,,,True,,,False
147617,573704991,573704991,7500.0,2003.74,2016-06-27T16:13:21,20.33,cheapfast.com,US,US,09,08,online_retail,02/2020,2015-01-18,2015-01-18,313,313,3375,PURCHASE,False,,5496.26,,,,False,,,False
98084,555620427,555620427,15000.0,7221.46,2016-04-05T21:01:41,26.27,alibaba.com,US,US,02,01,online_retail,06/2021,2011-06-05,2011-06-05,954,954,8087,PURCHASE,False,,7778.54,,,,False,,,False
267789,937820680,937820680,5000.0,4927.62,2016-04-09T22:44:20,203.82,Washington Auto Body,US,US,05,08,auto,05/2026,2006-12-07,2006-12-07,850,856,7459,PURCHASE,False,,72.38,,,,True,,,False
13537,824423647,824423647,2500.0,1366.24,2016-07-23T05:41:36,296.16,AMC #724446,US,US,02,01,entertainment,08/2023,2014-08-22,2016-07-07,226,226,6606,PURCHASE,False,,1133.76,,,,True,,,False
49109,959451017,959451017,7500.0,3152.12,2016-12-21T18:21:54,59.09,Uber,,US,09,01,rideshare,09/2030,2014-03-28,2016-04-25,678,678,3836,PURCHASE,False,,4347.88,,,,False,,,False
508388,914372675,914372675,50000.0,48810.53,2016-03-08T17:40:58,35.41,Ray's Fries #892291,US,US,02,01,food,07/2028,2015-08-01,2015-08-01,340,340,1429,PURCHASE,False,,1189.47,,,,True,,,False
364670,917216469,917216469,15000.0,14591.24,2016-12-01T15:57:32,195.38,Best Deli #329705,US,US,09,01,food,05/2025,2014-09-18,2016-08-01,126,126,7872,PURCHASE,False,,408.76,,,,True,,,False
603309,156776418,156776418,7500.0,4259.96,2016-07-19T06:43:01,26.18,ebay.com,US,US,02,01,online_retail,12/2018,2013-06-13,2016-05-03,214,214,7369,REVERSAL,False,,3240.04,,,,False,,,False
432306,569815786,569815786,7500.0,2855.73,2016-06-11T21:06:54,32.57,Universe Massage #669889,US,US,09,01,personal care,11/2021,2015-10-30,2015-10-30,142,142,2433,PURCHASE,False,,4644.27,,,,True,,,False
3883,844845248,844845248,2500.0,404.54,2016-03-07T06:05:04,34.22,walmart.com,US,US,09,01,online_retail,08/2026,2015-12-26,2015-12-26,781,781,2043,PURCHASE,False,,2095.46,,,,False,,,False
117407,640381056,640381056,7500.0,5265.89,2016-09-29T14:11:03,103.51,gap.com,US,US,05,01,online_retail,01/2024,2013-12-28,2016-09-14,209,209,3606,PURCHASE,False,,2234.11,,,,False,,,False
270223,792317293,792317293,5000.0,2555.93,2016-10-07T02:50:49,31.14,apple.com,US,US,09,08,online_retail,08/2020,2015-05-20,2016-09-14,444,444,5000,PURCHASE,False,,2444.07,,,,False,,,False
466289,377492856,377492856,15000.0,14938.15,2016-10-21T19:38:38,61.85,Shell Gas #613811,US,US,05,01,fuel,03/2030,2015-12-29,2015-12-29,952,952,431,PURCHASE,False,,61.85,,,,True,,,False
265543,235654498,235654498,15000.0,14611.75,2016-04-28T03:03:52,58.35,Hilton Hotels #89655,US,US,09,01,hotels,02/2022,2014-07-04,2014-07-04,798,798,879,PURCHASE,False,,388.25,,,,False,,,False
32893,783122633,783122633,10000.0,6662.17,2016-10-11T09:33:38,209.12,Wendys #596109,US,US,09,01,fastfood,06/2021,2014-01-13,2016-04-11,963,963,4639,PURCHASE,False,,3337.83,,,,True,,,False
253924,778536189,778536189,7500.0,4910.96,2016-12-16T04:26:08,42.79,Lyft,US,US,09,01,rideshare,03/2022,2004-07-09,2016-04-28,812,812,5300,PURCHASE,False,,2589.04,,,,False,,,False
314383,253520646,253520646,50000.0,47087.08,2016-05-11T22:55:57,40.99,Uber,US,US,05,01,rideshare,07/2029,2015-10-20,2015-10-20,167,167,3978,PURCHASE,False,,2912.92,,,,False,,,False
5289,325370845,325370845,1000.0,77.5,2016-06-29T15:10:47,243.24,walmart.com,US,US,80,01,online_retail,08/2028,2015-03-14,2015-03-14,692,692,8189,PURCHASE,False,,922.5,,,,False,,,False
620973,239875038,239875038,7500.0,1124.46,2016-06-07T15:21:13,91.41,EZ Putt Putt #240241,US,US,02,08,entertainment,12/2022,2015-03-12,2016-05-18,324,324,1437,PURCHASE,False,,6375.54,,,,True,,,False
254706,768515202,768515202,10000.0,9697.1,2016-01-21T12:55:45,129.48,AMC #724446,US,US,05,01,entertainment,04/2027,2013-01-26,2013-01-26,917,917,1263,PURCHASE,False,,302.9,,,,True,,,False
549272,351078699,351078699,20000.0,4267.37,2016-08-29T03:44:04,49.72,WSC #686115,US,US,09,01,health,03/2024,2011-01-27,2011-01-27,148,148,6216,PURCHASE,False,,15732.63,,,,False,,,False
424098,324073765,324073765,15000.0,10954.88,2016-06-26T00:26:02,119.73,Blue Mountain Online Services,US,US,05,01,online_gifts,01/2022,2015-06-11,2015-06-11,523,523,1756,PURCHASE,False,,4045.12,,,,False,,,False
165307,802272364,802272364,5000.0,1681.56,2016-12-16T05:58:32,52.16,Sunoco Gas #512782,US,US,05,01,fuel,08/2024,2013-03-24,2016-11-16,238,238,3933,PURCHASE,False,,3318.44,,,,True,,,False
80553,453278214,453278214,7500.0,5851.41,2016-03-22T20:13:16,251.32,Rodeway Inn #789483,US,US,09,01,hotels,10/2029,2015-07-09,2015-07-09,619,619,2076,PURCHASE,False,,1648.59,,,,True,,,False
408875,930998627,930998627,7500.0,6374.37,2016-05-06T08:10:34,114.48,Fresh Flowers,US,US,05,01,online_gifts,10/2021,2014-09-22,2014-09-22,799,799,8642,PURCHASE,False,,1125.63,,,,False,,,False
268578,792317293,792317293,5000.0,1861.88,2016-01-11T14:01:14,316.72,apple.com,US,US,02,01,online_retail,06/2019,2015-05-20,2015-05-20,135,135,3866,PURCHASE,False,,3138.12,,,,False,,,False
393583,711990261,711990261,1000.0,276.53,2016-01-13T20:47:46,36.31,Domino's Pizza #934093,US,US,02,01,fastfood,08/2018,2014-02-18,2014-02-18,219,219,5360,PURCHASE,False,,723.47,,,,True,,,False
396131,882565018,882565018,10000.0,9492.11,2016-03-17T17:38:43,63.8,gap.com,US,US,05,08,online_retail,03/2019,2015-02-25,2015-02-25,566,566,1362,PURCHASE,False,,507.89,,,,False,,,False
477658,871701939,871701939,15000.0,14844.39,2016-01-03T03:14:31,236.35,Burger King #884292,MEX,MEX,05,01,fastfood,07/2021,2013-01-07,2013-01-07,269,269,9172,PURCHASE,False,,155.61,,,,True,,,False
141482,903360157,903360157,50000.0,21253.47,2016-02-16T14:19:32,50.02,AMC #692956,CAN,CAN,09,01,entertainment,06/2024,2015-03-28,2015-03-28,722,722,7104,PURCHASE,False,,28746.53,,,,True,,,False
342882,322865480,322865480,15000.0,14641.36,2016-08-14T12:43:30,28.18,Wendys #283022,US,US,05,01,fastfood,06/2026,2014-07-18,2016-04-10,471,471,4304,PURCHASE,False,,358.64,,,,True,,,False
133278,961364940,961364940,50000.0,49447.51,2016-10-29T08:32:44,266.74,Universe Massage #27014,US,US,09,08,personal care,01/2021,2015-05-16,2015-05-16,688,688,69,,False,,552.49,,,,True,,,False
352643,985969352,985969352,20000.0,12609.39,2016-09-23T10:41:14,444.63,cheapfast.com,US,US,05,01,online_retail,10/2025,2011-01-21,2011-01-21,947,947,1704,PURCHASE,False,,7390.61,,,,False,,,False
111079,353215513,353215513,7500.0,462.08,2016-11-25T08:35:07,101.04,Dinosaur Sandwitch Bar #960325,US,US,05,01,food,06/2027,2013-07-04,2016-11-18,986,986,2705,PURCHASE,False,,7037.92,,,,True,,,False
418596,647066704,647066704,7500.0,5122.03,2016-04-15T04:37:20,20.27,Subway #309996,US,US,09,01,fastfood,01/2019,2014-02-21,2014-02-21,292,292,6080,PURCHASE,False,,2377.97,,,,True,,,False
357353,843697122,843697122,10000.0,3436.46,2016-12-29T16:44:29,129.71,gap.com,US,US,09,01,online_retail,07/2019,2015-03-14,2016-12-07,160,160,7228,PURCHASE,False,,6563.54,,,,False,,,False
540039,172935017,172935017,7500.0,6588.17,2016-03-07T05:19:27,73.99,34th Bistro,US,US,02,01,food,04/2024,2015-09-16,2015-09-16,616,616,582,PURCHASE,False,,911.83,,,,True,,,False
532496,318001076,318001076,50000.0,29927.77,2016-04-17T18:57:49,200.87,staples.com,US,US,05,01,online_retail,03/2027,2015-12-11,2016-03-24,633,633,1789,PURCHASE,False,,20072.23,,,,False,,,False
13411,824423647,824423647,2500.0,672.04,2016-06-23T01:56:05,12.73,AMC #552863,US,US,09,01,entertainment,11/2021,2014-08-22,2016-06-16,226,226,6606,PURCHASE,False,,1827.96,,,,True,,,False
10937,461031328,461031328,2500.0,727.66,2016-11-24T01:50:26,174.33,walmart.com,US,US,09,01,online_retail,08/2028,2013-11-12,2016-10-24,483,483,3008,PURCHASE,False,,1772.34,,,,False,,,False
502321,207790280,207790280,250.0,230.36,2016-12-09T02:22:26,161.89,American Airlines,US,US,02,01,airline,06/2024,2015-12-30,2016-11-05,211,218,7632,PURCHASE,False,,19.64,,,,False,,,False
295379,859418762,859418762,20000.0,1851.79,2016-11-25T15:45:29,41.81,Universe Massage #357768,US,US,09,01,personal care,03/2023,2014-06-14,2014-06-14,167,167,8456,PURCHASE,False,,18148.21,,,,True,,,False
238658,877017103,877017103,5000.0,1505.64,2016-02-15T20:52:43,150.32,Boston Cafe #105215,US,US,05,01,food,02/2021,2014-01-31,2016-01-27,731,731,4690,PURCHASE,False,,3494.36,,,,True,,,False
377971,293446786,293446786,5000.0,1079.89,2016-10-20T16:31:52,313.26,Uber,US,US,80,01,rideshare,04/2021,2012-01-07,2016-07-03,314,314,9382,PURCHASE,False,,3920.11,,,,False,,,False
87768,456044564,456044564,10000.0,8081.14,2016-09-03T02:31:02,79.61,Franks Restaurant,US,US,09,01,food,05/2029,2012-10-05,2016-08-26,746,746,5658,PURCHASE,False,,1918.86,,,,True,,,False
503457,434887639,434887639,500.0,424.63,2016-10-09T05:45:18,39.41,GreenCook,US,US,02,01,food_delivery,06/2028,2011-10-29,2011-10-29,898,898,3823,PURCHASE,False,,75.37,,,,False,,,False
249003,132318570,132318570,50000.0,47648.28,2016-04-01T02:43:59,47.0,Wendys #37511,,US,05,08,fastfood,01/2032,2015-12-08,2015-12-08,187,187,4824,PURCHASE,False,,2351.72,,,,True,,,False
341077,286398427,286398427,500.0,238.34,2016-03-21T16:58:24,73.13,cheapfast.com,US,US,05,01,online_retail,03/2024,2013-11-13,2013-11-13,381,381,7436,PURCHASE,False,,261.66,,,,False,,,False
580254,572045929,572045929,2500.0,2024.81,2016-02-03T09:46:32,56.22,sears.com,US,US,05,01,online_retail,11/2028,2012-11-28,2012-11-28,558,558,9656,PURCHASE,False,,475.19,,,,False,,,False
530929,318001076,318001076,50000.0,7519.88,2016-02-19T20:21:37,128.75,ebay.com,US,US,02,01,online_retail,07/2028,2015-12-11,2016-02-15,633,633,1789,PURCHASE,False,,42480.12,,,,False,,,False
53843,763201731,763201731,2500.0,435.07,2016-12-19T22:49:22,99.0,staples.com,US,US,05,08,online_retail,01/2026,2014-12-16,2016-12-02,348,348,4161,PURCHASE,False,,2064.93,,,,False,,,False
576678,687389338,687389338,5000.0,1001.25,2016-06-22T14:40:11,191.33,34th BBQ #436606,US,US,09,01,food,10/2022,2010-04-28,2010-04-28,428,428,2447,PURCHASE,False,,3998.75,,,,True,,,False
545842,403356737,403356737,250.0,70.43,2016-04-25T11:14:49,236.04,Planet Fitness #845110,US,US,09,01,health,07/2020,2015-12-09,2015-12-09,538,538,1459,PURCHASE,True,,179.57,,,,False,,,False
23331,772212779,772212779,250.0,61.63,2016-03-09T09:36:12,61.58,Ray's Fries #312615,US,US,02,01,food,02/2030,2015-12-26,2016-02-13,773,773,9056,PURCHASE,False,,188.37,,,,True,,,False
271034,935067404,935067404,7500.0,6273.55,2016-03-24T01:33:15,77.48,Burger King #984065,US,US,90,01,fastfood,02/2028,2015-05-30,2015-05-30,732,732,8736,PURCHASE,False,,1226.45,,,,True,,,False
581687,196703972,196703972,7500.0,7500.0,2016-02-14T18:07:45,13.33,netflix.com,US,US,02,01,online_subscriptions,09/2023,2015-02-20,2015-02-20,969,969,3212,PURCHASE,False,,0.0,,,,False,,,False
616408,888231319,888231319,10000.0,3636.12,2016-06-12T08:49:44,0.0,AMC #606218,US,US,09,01,entertainment,05/2024,2015-04-09,2016-02-07,486,486,6743,ADDRESS_VERIFICATION,False,,6363.88,,,,False,,,False
188938,266796367,266796367,20000.0,11945.74,2016-09-17T18:17:28,141.08,Uber,US,US,80,01,rideshare,08/2031,2014-03-11,2016-08-10,674,674,8947,PURCHASE,False,,8054.26,,,,False,,,False
491902,139350506,139350506,500.0,407.52,2016-03-17T18:19:23,18.65,Lyft,US,US,05,01,rideshare,05/2031,2015-12-04,2015-12-04,522,522,10,PURCHASE,False,,92.48,,,,False,,,False
437743,339419270,339419270,7500.0,7296.27,2016-05-23T04:33:55,5.86,Play Store,US,US,02,01,mobileapps,03/2026,2010-10-10,2016-04-03,908,908,9789,PURCHASE,False,,203.73,,,,False,,,False
481715,461839622,461839622,10000.0,7647.0,2016-03-21T10:24:48,61.59,sears.com,US,US,02,01,online_retail,02/2024,2010-11-08,2010-11-08,987,987,2281,PURCHASE,False,,2353.0,,,,False,,,False
26384,578996933,578996933,7500.0,7158.36,2016-02-09T15:14:37,110.05,KFC #113520,US,US,09,01,fastfood,04/2027,2015-10-01,2015-10-01,889,889,8763,PURCHASE,False,,341.64,,,,True,,,False
260725,292670613,292670613,1000.0,930.8,2016-11-29T02:30:35,77.69,ebay.com,US,US,02,01,online_retail,10/2031,2014-06-19,2014-06-19,692,692,7562,PURCHASE,False,,69.2,,,,False,,,False
400607,656883160,656883160,20000.0,16354.5,2016-11-05T14:30:13,28.34,Sunoco Gas #425592,US,US,09,01,fuel,06/2020,2011-02-11,2011-02-11,606,606,9556,PURCHASE,False,,3645.5,,,,True,,,False
290034,459291345,459291345,20000.0,1453.07,2016-12-21T08:24:11,61.93,Hardee's #229101,US,US,05,01,fastfood,09/2020,2012-12-18,2016-11-25,724,724,1651,REVERSAL,False,,18546.93,,,,True,,,False
488216,202980842,202980842,20000.0,16582.73,2016-04-15T10:21:58,20.8,staples.com,US,US,90,01,online_retail,09/2026,2015-01-08,2015-01-08,448,448,1806,PURCHASE,False,,3417.27,,,,False,,,False
33895,472199821,472199821,1000.0,470.05,2016-12-01T12:16:15,7.22,Apple iTunes,US,US,09,08,mobileapps,03/2024,2015-05-25,2016-04-07,458,451,1300,PURCHASE,False,,529.95,,,,False,,,False
97093,406108945,406108945,50000.0,29785.23,2016-06-02T11:38:19,31.99,Next Day Online Services,US,US,05,01,online_gifts,11/2025,2012-09-18,2016-01-29,395,395,6078,PURCHASE,False,,20214.77,,,,False,,,False
98731,555620427,555620427,15000.0,1991.3,2016-12-17T13:02:37,57.84,Popeyes #870189,US,US,05,01,fastfood,12/2030,2011-06-05,2016-11-26,738,738,5628,PURCHASE,False,,13008.7,,,,True,,,False
519612,255335005,255335005,7500.0,7376.05,2016-05-12T09:34:55,34.56,Runners #935124,US,US,05,01,gym,12/2023,2010-06-24,2010-06-24,883,883,7217,PURCHASE,False,,123.95,,,,False,,,False
240775,877017103,877017103,5000.0,752.84,2016-08-08T18:05:38,30.56,alibaba.com,US,US,09,08,online_retail,08/2022,2014-01-31,2016-05-17,731,731,4690,PURCHASE,False,,4247.16,,,,False,,,False
291682,719873381,719873381,2500.0,442.49,2016-07-19T06:35:44,0.0,Quizno's #584361,US,US,02,01,fastfood,05/2031,2015-12-22,2016-06-14,986,986,2242,ADDRESS_VERIFICATION,False,,2057.51,,,,False,,,False
535152,318001076,318001076,50000.0,23977.18,2016-07-26T08:42:33,0.0,walmart.com,US,US,02,01,online_retail,01/2021,2015-12-11,2016-07-22,633,633,1789,ADDRESS_VERIFICATION,False,,26022.82,,,,False,,,False
181435,986909167,986909167,50000.0,39463.77,2016-09-08T05:55:35,6.07,Play Store,US,US,02,01,mobileapps,02/2029,2015-04-12,2016-06-17,446,446,5117,PURCHASE,False,,10536.23,,,,False,,,False
181228,787742703,787742703,2500.0,1302.24,2016-11-24T23:50:05,0.0,AMC #692956,US,US,02,01,entertainment,09/2021,2015-02-27,2016-01-07,531,531,8720,ADDRESS_VERIFICATION,False,,1197.76,,,,False,,,False
15511,182040771,182040771,7500.0,4384.03,2016-01-14T20:12:22,387.18,1st Sandwitch Bar #119707,US,US,05,08,food,07/2031,2012-03-21,2012-03-21,323,323,7308,PURCHASE,False,,3115.97,,,,True,,,False
100829,954119660,954119660,10000.0,7055.9,2016-09-18T06:08:19,74.98,EZ Putt Putt #755869,US,US,02,01,entertainment,03/2024,2015-06-19,2015-06-19,921,921,6523,PURCHASE,False,,2944.1,,,,True,,,False
394480,711990261,711990261,1000.0,216.84,2016-10-16T17:36:03,269.16,Quizno's #928435,US,US,09,01,fastfood,03/2019,2014-02-18,2016-05-08,219,219,5360,PURCHASE,False,,783.16,,,,True,,,False
606947,241029136,241029136,2500.0,816.27,2016-06-01T14:44:35,245.59,Best Deli #109276,US,US,09,01,food,02/2024,2015-10-06,2016-03-05,253,253,3582,PURCHASE,False,,1683.73,,,,True,,,False
462444,295580665,295580665,15000.0,11046.3,2016-09-23T23:41:11,215.79,gap.com,US,US,05,01,online_retail,01/2024,2013-11-07,2016-05-27,133,133,444,PURCHASE,False,,3953.7,,,,False,,,False
549258,351078699,351078699,20000.0,5998.27,2016-08-08T02:42:58,550.46,Uber,US,US,05,01,rideshare,01/2025,2011-01-27,2011-01-27,121,121,8791,PURCHASE,False,,14001.73,,,,False,,,False
206139,689815792,689815792,250.0,143.0,2016-02-03T02:31:45,141.69,Hardee's #43185,CAN,CAN,02,01,fastfood,07/2031,2012-12-11,2012-12-11,586,586,3377,PURCHASE,False,,107.0,,,,True,,,False
194765,763615882,763615882,5000.0,4644.77,2016-10-17T18:42:16,78.12,Daily Fresh,US,US,05,08,food_delivery,10/2026,2011-11-17,2011-11-17,356,356,1081,PURCHASE,False,,355.23,,,,False,,,False
536658,318001076,318001076,50000.0,21606.79,2016-09-17T22:14:12,218.9,amazon.com,US,US,02,01,online_retail,09/2031,2015-12-11,2016-08-31,633,633,1789,PURCHASE,False,,28393.21,,,,False,,,False
155889,653254864,653254864,5000.0,5000.0,2016-09-05T18:29:18,310.84,Dunkin' Donuts #98098,US,US,05,01,fastfood,08/2019,2015-08-23,2015-08-23,850,850,7997,PURCHASE,False,,0.0,,,,True,,,False
608683,997379599,997379599,5000.0,2634.39,2016-12-09T00:03:32,10.89,Blue Mountain Online Services,US,US,09,01,online_gifts,02/2023,2012-02-05,2016-01-03,150,150,7270,PURCHASE,False,,2365.61,,,,False,,,False
512070,588714403,588714403,500.0,264.04,2016-06-03T00:23:03,4.25,Apple iTunes,US,US,09,01,mobileapps,01/2019,2013-08-24,2016-03-17,180,180,5982,PURCHASE,False,,235.96,,,,False,,,False
170131,927002454,927002454,10000.0,1071.81,2016-11-17T19:24:54,123.0,Virgin Airlines,US,US,09,01,airline,05/2020,2013-10-14,2016-04-26,673,673,5942,PURCHASE,False,,8928.19,,,,False,,,False
227810,510665730,510665730,5000.0,2183.13,2016-10-30T08:22:08,214.61,Next Day Online Services,US,US,05,08,online_gifts,01/2021,2015-12-01,2015-12-01,947,947,8446,PURCHASE,False,,2816.87,,,,False,,,False
459558,588102118,588102118,15000.0,12441.78,2016-03-25T02:15:55,29.97,staples.com,US,US,02,01,online_retail,08/2031,2014-09-08,2014-09-08,623,623,5106,PURCHASE,False,,2558.22,,,,False,,,False
65664,786045088,786045088,7500.0,7127.21,2016-01-04T03:39:29,389.01,oldnavy.com,US,US,02,01,online_retail,12/2027,2011-10-08,2011-10-08,956,956,5532,PURCHASE,False,,372.79,,,,False,,,False
111638,633363638,633363638,5000.0,5000.0,2016-01-03T10:52:25,77.92,Rodeway Inn #704793,US,US,05,08,hotels,02/2025,2010-02-12,2010-02-12,417,417,2384,PURCHASE,False,,0.0,,,,True,,,False
299915,658199556,658199556,5000.0,4469.9,2016-10-05T10:14:31,272.26,Hardee's #644297,US,US,09,01,fastfood,08/2026,2015-07-03,2015-07-03,802,802,9979,PURCHASE,False,,530.1,,,,True,,,False
189657,663333759,663333759,7500.0,3820.63,2016-04-18T02:03:04,16.52,Lyft,US,US,09,01,rideshare,09/2021,2013-09-25,2013-09-25,652,652,7953,PURCHASE,False,,3679.37,,,,False,,,False
393232,242151701,242151701,10000.0,9998.4,2016-08-06T17:55:47,12.37,discount.com,US,US,02,08,online_retail,01/2022,2015-04-07,2016-02-11,640,640,7801,PURCHASE,False,,1.6,,,,False,,,False
